joint_name,q_lower_rad,q_upper_rad,q_min_observed_rad,q_max_observed_rad,max_lower_excess_rad,max_upper_excess_rad,max_excess_rad,time_of_max_excess_s,time_above_zero_excess_s,time_above_standing_tolerance_s,longest_consecutive_excess_s,max_abs_velocity_rad_s,declared_velocity_limit_rad_s,velocity_limit_source,max_velocity_ratio,max_positive_actuation_Nm,max_negative_actuation_Nm,max_actuation_limit_ratio,torque_saturation_fraction,min_target_limit_margin_rad,urdf_lower_rad,urdf_upper_rad,urdf_effort_Nm,effective_effort_lower_Nm,effective_effort_upper_Nm
left_hip_pitch_joint,-2.704,2.556,-0.6179195602550253,1.2757614981716596,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,8.061562388200185,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#left_hip_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.6753989936494793,118.0,-97.70758172972246,1.0,0.02598652550529355,1.3255564360022547,-2.704,2.556,120.0,-118.0,118.0
left_hip_roll_joint,-0.235,2.906,-0.038912661893093795,1.5365174923479277,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,6.5527448833571755,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#left_hip_roll_joint/limit@velocity (declaration; not MJCF clamp),0.5489900203885033,109.63030057308048,-118.0,1.0,0.05948026948989413,0.23675309303204994,-0.235,2.906,120.0,-118.0,118.0
left_hip_yaw_joint,-1.684,3.43,-1.1243950393893924,0.37688584224855415,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,4.0248362585836395,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#left_hip_yaw_joint/limit@velocity (declaration; not MJCF clamp),0.3372014291708813,79.61825201332215,-53.12932102158426,0.674730949265442,0.0,0.5086022043228149,-1.8588,3.6041,120.0,-118.0,118.0
left_knee_joint,0.0,2.4073,0.02999642732763222,1.961541738382772,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,5.5191913300208455,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#left_knee_joint/limit@velocity (declaration; not MJCF clamp),0.4623987374347223,118.0,-81.81733193015314,1.0,0.0015399422521655437,0.02999641299247742,0.0,2.4073,120.0,-118.0,118.0
left_ankle_pitch_joint,-0.803,0.453,-0.8462789501915715,-0.37692142185656036,0.043278950191571464,0.0,0.043278950191571464,2.2099999999997566,0.643,0.643,0.39,5.762377303517051,13.087,X2_URDF-v1.3.0/x2_ultra.urdf#left_ankle_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.4403130819528579,36.0,-8.711146871225319,1.0,0.019249278152069296,0.0,-0.803,0.453,36.0,-36.0,36.0
left_ankle_roll_joint,-0.262,0.262,-0.26588038767140487,-0.0014216550287591571,0.0038803876714048613,0.0,0.0038803876714048613,1.4149999999998444,0.165,0.159,0.069,2.1594193018401984,15.077,X2_URDF-v1.3.0/x2_ultra.urdf#left_ankle_roll_joint/limit@velocity (declaration; not MJCF clamp),0.14322605968297397,24.0,-22.526010733391885,1.0,0.00712223291626564,3.2747626304618915e-05,-0.2967,0.2967,24.0,-24.0,24.0
right_hip_pitch_joint,-2.704,2.556,-0.4414142664833831,0.9464865599141241,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,5.902531706815541,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#right_hip_pitch_joint/limit@velocity (declaration; not MJCF clamp),0.49451505586591327,104.90059140333763,-118.0,1.0,0.00019249278152069297,1.6170727788209915,-2.704,2.556,120.0,-118.0,118.0
right_hip_roll_joint,-2.906,0.235,-0.695797294148865,0.07318846590935672,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,4.209689081298107,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#right_hip_roll_joint/limit@velocity (declaration; not MJCF clamp),0.3526884283929379,118.0,-70.86807436782365,1.0,0.0019249278152069298,0.0,-2.906,0.235,120.0,-118.0,118.0
right_hip_yaw_joint,-3.43,1.684,-0.593818921699891,1.6258318943068202,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,3.7269081367641963,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#right_hip_yaw_joint/limit@velocity (declaration; not MJCF clamp),0.31224096320075373,45.01686049615515,-93.83623237210878,0.79522230823821,0.0,0.0691049416065217,-3.6041,1.8588,120.0,-118.0,118.0
right_knee_joint,0.0,2.4073,0.02926059397614143,2.133184573201033,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,3.532074521900424,11.936,X2_URDF-v1.3.0/x2_ultra.urdf#right_knee_joint/limit@velocity (declaration; not MJCF clamp),0.295917771606939,57.776983952212916,-111.54662595407007,0.9453103894412718,0.0,0.029263705015182495,0.0,2.4073,120.0,-118.0,118.0
